Amount,Hour,PreviousTransactions,International,NewDevice,HighRiskCountry,Fraud
7149.87,9,17,0,1,0,0
1288.59,11,38,1,1,0,0
13002.95,14,15,1,1,1,1
852.46,1,22,1,0,0,0
5596.05,16,40,1,0,1,1
12213.56,20,13,1,1,1,1
11209.07,18,27,1,0,1,1
2573.31,10,15,1,0,0,0
3214.81,22,37,0,0,1,0
194.31,7,34,1,1,1,1
1861.02,22,3,0,0,1,0
6249.56,3,14,0,1,1,1
7790.54,3,15,0,0,1,1
10973.45,13,8,0,1,1,1
8611.65,2,11,0,0,1,1
3500.06,19,26,0,0,0,0
11067.65,13,36,1,0,0,0
10727.55,10,39,0,1,1,1
5933.05,4,30,0,1,1,1
7394.55,19,5,1,1,1,1
1196.15,0,20,0,1,0,0
12738.51,11,5,0,0,1,1
13645.12,8,10,1,0,1,1
4837.19,21,30,1,1,1,1
8713.97,3,14,1,0,0,1
6155.34,17,17,0,1,0,0
1432.98,15,15,0,1,1,1
11507.75,2,12,0,0,1,1
7682.76,21,24,0,1,1,1
14429.34,1,34,1,0,0,1
12641.14,19,39,0,0,1,1
9622.07,16,21,1,1,0,1
4016.4,13,18,0,1,0,0
8592.76,22,11,0,0,1,1
4290.27,3,32,1,0,1,1
14125.63,16,35,1,1,0,1
2612.38,21,39,0,1,1,1
9637.49,23,39,1,0,0,0
841.94,16,10,1,1,1,1
11541.69,9,10,0,1,0,0
8898.69,3,28,1,1,0,1
14061.07,5,0,1,0,1,1
14328.52,13,32,0,0,1,1
12454.6,16,1,1,0,1,1
7185.07,6,0,0,0,1,1
7515.48,8,35,0,0,0,0
3931.72,22,8,0,1,0,0
6965.15,9,24,0,1,0,0
10927.19,18,31,1,0,0,0
12286.98,12,21,1,1,1,1
6421.68,19,0,1,0,1,1
5655.52,17,37,0,0,1,0
1815.67,4,0,1,0,1,1
12162.79,10,4,0,0,1,1
13079.5,16,9,1,0,1,1
12538.92,12,11,0,1,1,1
11283.4,4,25,0,1,1,1
14219.69,4,15,1,1,0,1
8040.88,11,17,1,1,1,1
1272.72,6,19,1,1,1,1
6765.11,16,0,1,0,1,1
507.26,18,21,0,1,1,1
7589.63,18,24,0,1,0,0
1293.34,9,17,0,1,0,0
4677.18,16,6,1,0,0,0
2383.14,15,10,1,0,1,1
3191.1,5,36,0,1,1,1
315.97,17,30,0,1,0,0
10866.93,22,37,0,0,0,0
4699.84,18,33,0,0,1,0
3254.41,14,11,0,0,0,0
14001.11,12,16,1,1,0,1
8481.04,8,29,1,1,0,1
2291.95,23,26,1,0,1,1
3678.02,13,38,1,0,0,0
10798.68,1,16,0,0,0,0
13198.97,23,37,1,1,0,1
14759.18,23,19,0,1,0,0
11679.04,3,27,0,0,0,0
10125.17,1,3,0,1,0,1
2195.15,11,24,1,0,1,1
5038.49,9,19,1,0,0,0
4691.31,19,35,1,0,0,0
5356.73,13,5,0,0,1,1
11318.69,23,35,0,1,1,1
1903.84,12,23,0,1,1,1
1125.51,13,30,0,0,0,0
274.65,16,31,0,1,0,0
10902.55,0,6,1,0,0,1
13003.33,13,15,1,1,0,1
6193.36,3,16,1,1,0,1
13325.52,12,28,1,0,1,1
8817.76,11,17,1,1,0,1
2688.3,0,18,0,1,0,0
2883.68,21,36,1,0,1,1
5087.3,16,32,1,0,0,0
8136.6,3,17,0,1,0,1
9492.44,23,7,0,1,1,1
5938.67,23,0,1,1,0,1
8802.51,14,3,0,1,1,1
10565.22,17,30,0,0,1,1
9921.95,4,37,0,1,1,1
13924.16,5,25,1,0,0,0
3246.26,17,13,0,1,0,0
14415.75,10,17,1,0,1,1
3894.29,17,40,1,0,1,1
5873.07,17,26,0,0,0,0
7770.66,1,29,1,0,1,1
13856.5,7,1,0,0,1,1
5698.26,8,15,1,1,1,1
9472.83,5,31,0,1,0,1
10595.67,21,3,1,0,0,0
1573.26,0,17,1,1,1,1
8182.18,9,28,0,0,1,1
8092.82,2,9,0,1,1,1
4166.72,9,34,1,1,0,0
1800.7,18,28,0,0,0,0
11372.83,1,11,0,1,0,1
1914.59,1,2,0,1,0,0
693.69,2,28,0,1,1,1
3636.09,5,39,1,1,0,0
13322.87,9,10,1,0,1,1
2055.93,14,35,1,0,1,1
6299.41,21,37,1,1,1,1
14400.76,0,20,0,0,1,1
1608.47,22,0,1,1,1,1
12092.03,21,36,1,0,1,1
13616.74,15,17,1,0,0,0
639.3,19,20,1,1,0,0
5901.25,15,14,0,1,0,0
8947.26,4,9,0,1,0,1
10435.56,17,33,1,0,0,0
11907.18,23,33,1,1,0,1
14731.02,15,27,1,1,1,1
1998.73,3,31,1,1,1,1
9512.83,11,9,0,1,0,0
7338.87,11,31,1,1,0,1
2199.22,0,20,0,1,0,0
13946.93,15,21,0,0,1,1
3167.47,0,14,1,1,0,1
11701.85,5,0,0,1,0,1
12524.42,14,35,0,0,1,1
5305.22,5,34,0,0,0,0
11856.23,22,38,0,0,1,1
3778.88,21,17,0,1,0,0
13934.47,0,30,0,1,0,1
11029.68,7,10,0,0,0,0
1224.94,22,9,1,0,0,0
9028.93,8,24,1,0,0,0
7292.97,0,12,0,1,0,0
3282.54,13,5,0,1,1,1
9902.02,20,10,1,1,1,1
9952.05,22,14,0,1,0,1
5614.65,22,30,1,0,0,0
1028.33,5,4,0,0,0,0
12306.5,9,24,1,0,0,0
3493.74,10,30,1,0,1,1
5487.65,5,2,1,0,0,0
7767.14,11,15,0,0,1,0
3328.71,8,6,0,0,0,0
9455.06,17,18,0,1,0,0
4901.09,4,40,1,0,1,1
1566.91,5,16,1,0,0,0
14180.62,23,19,0,1,0,1
9980.54,1,22,0,0,0,0
14860.45,22,37,0,1,1,1
14873.84,19,5,0,0,1,1
3590.16,5,38,0,0,0,0
9574.86,5,27,0,1,1,1
5537.9,19,18,1,0,0,0
12175.27,0,24,1,0,0,1
3768.02,18,3,0,0,0,0
6870.93,23,29,1,1,0,1
73.44,20,2,1,0,1,1
8218.32,16,14,1,1,1,1
3594.24,5,17,0,0,0,0
2146.93,7,12,0,1,0,0
3541.58,19,30,0,1,0,0
9880.29,1,1,1,1,0,1
14148.09,6,24,1,1,1,1
4624.23,11,9,1,1,0,0
11471.0,16,3,1,0,0,1
140.66,17,5,0,0,0,0
4528.85,17,12,1,0,1,1
13340.92,6,11,0,1,1,1
12820.71,19,20,0,0,1,1
13964.11,4,40,0,0,1,1
1594.58,14,0,0,1,0,0
143.47,9,10,1,0,1,1
913.62,7,13,1,1,0,0
7515.06,6,26,0,0,0,0
9331.79,8,31,1,0,1,1
2312.89,16,20,0,0,1,0
14687.28,21,28,1,0,0,1
4532.68,23,40,1,0,1,1
9956.14,17,15,1,1,0,1
4104.78,4,3,1,1,0,1
4477.59,17,28,0,1,0,0
9578.04,15,21,1,1,1,1
11019.58,22,14,0,0,0,0
2673.34,4,25,0,1,1,1
11153.62,19,21,0,0,0,0
5411.01,7,37,0,1,0,0
14481.09,9,26,1,0,0,0
3932.05,23,18,1,0,0,0
11121.86,1,21,0,0,0,0
14778.63,15,7,1,0,0,0
12948.8,3,10,1,1,1,1
14354.63,13,2,0,1,0,0
11586.55,17,40,1,0,0,1
6274.57,6,2,0,1,0,0
275.98,4,26,1,1,1,1
6239.91,2,11,1,0,0,1
2154.65,16,39,1,0,1,1
6683.19,5,20,0,0,0,0
11524.3,7,6,1,1,0,1
5273.26,20,12,0,1,0,0
14055.99,5,14,0,1,0,0
4454.3,21,5,0,0,1,0
6589.94,16,38,0,1,1,1
5305.15,14,37,0,0,0,0
8550.14,8,32,0,1,0,0
5962.36,11,2,1,0,1,1
8001.38,18,24,1,0,1,1
6906.56,3,36,0,1,0,1
11681.9,12,33,1,0,1,1
10868.11,20,8,1,0,0,0
3032.82,13,14,1,1,0,0
1607.04,19,12,0,0,0,0
5445.05,21,21,1,1,0,1
884.28,2,38,0,1,0,0
10515.08,12,32,0,1,1,1
8787.46,19,26,1,0,1,1
12717.03,4,34,1,0,1,1
9360.21,5,4,1,1,1,1
3107.34,11,9,0,0,1,0
11684.15,19,30,0,0,1,1
10887.05,16,23,1,0,0,0
11547.28,0,17,0,1,0,1
8759.07,21,12,0,1,0,0
6797.61,6,34,0,1,0,0
9753.78,6,36,0,1,1,1
841.95,21,12,0,1,1,1
7126.86,21,25,0,1,0,0
6539.53,5,20,1,1,1,1
4669.99,2,17,0,0,1,0
6565.71,3,25,0,1,1,1
12893.14,19,2,1,0,1,1
13246.8,2,19,1,1,1,1
12362.9,21,32,0,0,0,0
5531.28,6,38,0,0,1,1
14607.97,2,27,1,0,0,1
517.99,14,40,1,0,0,0
9186.79,10,1,0,0,0,0
14019.97,23,34,0,1,0,0
8961.65,20,22,1,1,1,1
2288.63,9,29,1,0,0,0
9046.39,19,26,1,0,1,1
4800.29,6,11,0,1,1,1
886.12,20,5,0,0,0,0
10253.91,15,13,0,1,1,1
7028.86,0,40,0,1,0,0
2855.39,15,18,0,1,0,0
10232.94,7,30,1,1,1,1
6739.46,19,1,0,0,0,0
5559.66,8,4,0,1,1,1
14092.13,0,1,0,1,0,1
316.81,23,22,1,0,0,0
2948.16,13,28,1,0,0,0
13647.93,15,30,0,0,1,1
6878.9,4,0,0,1,1,1
3866.92,3,11,1,0,0,0
2070.08,19,22,1,0,1,1
6881.24,15,4,1,1,0,1
7697.96,20,36,0,0,1,0
5190.27,9,25,1,0,0,0
7385.48,17,21,1,0,1,1
14389.97,16,14,0,0,1,1
6647.87,17,19,1,1,1,1
86.28,3,26,1,0,0,0
8257.74,6,21,1,0,0,1
664.12,15,9,1,1,1,1
6684.93,17,14,0,1,1,1
11115.17,9,5,1,0,0,0
3618.65,11,5,0,0,1,0
11732.4,7,26,0,1,1,1
1973.3,22,21,0,0,1,0
3197.06,16,25,0,1,1,1
7910.85,3,23,1,1,1,1
6438.59,0,36,1,0,0,0
8099.88,16,17,0,1,0,1
7709.93,5,35,1,1,1,1
12941.47,7,0,0,0,1,1
5110.39,23,7,1,1,1,1
739.12,6,31,0,1,1,1
2718.75,11,29,0,0,0,0
5199.47,0,10,0,1,0,0
14186.29,5,1,1,0,0,0
12973.82,6,16,1,1,1,1
10008.68,13,19,0,0,0,0
2910.09,21,38,0,0,1,0
14191.88,0,24,1,1,0,1
14539.44,18,2,0,0,0,0
10356.86,9,29,0,0,0,0
4295.99,4,12,1,0,1,1
2871.02,13,26,0,0,0,0
8786.58,10,2,1,1,0,1
9728.22,8,26,0,1,1,1
1023.19,9,26,0,1,1,1
38.29,8,37,0,0,0,0
7528.59,7,0,1,1,1,1
12228.18,18,31,1,1,1,1
4942.12,16,35,1,0,0,0
6525.95,14,35,0,0,0,0
13486.37,23,3,1,1,0,1
10874.41,8,30,0,0,1,1
6811.77,21,38,1,1,0,1
14302.2,23,25,0,0,0,0
8097.69,8,20,1,1,0,1
11072.71,7,33,1,0,0,0
12555.41,16,27,1,0,0,0
14057.37,20,15,0,1,1,1
11316.43,1,37,0,1,0,1
10462.74,9,26,0,0,1,1
2301.88,10,8,1,0,0,0
7851.75,0,1,0,1,0,0
5454.05,23,30,1,1,1,1
1039.85,10,28,1,1,0,0
11132.29,5,6,1,0,0,1
1696.49,18,26,0,1,1,1
7804.93,18,3,0,1,1,1
3726.55,2,6,1,1,1,1
9383.43,9,40,1,0,0,0
2951.58,4,3,0,0,1,1
8057.74,1,17,0,1,1,1
4990.25,16,2,1,0,0,0
9774.72,9,34,1,1,0,1
12199.46,20,13,0,0,1,1
8760.04,19,11,0,1,1,1
3924.28,8,0,1,1,0,1
3754.75,21,20,0,1,1,1
2293.52,5,26,0,0,1,0
2655.41,1,14,0,0,0,0
2441.5,18,0,1,1,0,1
12238.44,16,28,1,1,1,1
14202.37,4,27,1,1,0,1
6043.48,12,18,1,0,0,0
6204.0,0,15,0,1,0,0
6332.91,20,5,1,1,1,1
12292.23,21,15,1,0,0,1
510.94,1,10,0,0,0,0
11988.45,23,10,0,0,0,0
14929.75,4,36,0,1,1,1
13702.82,6,1,1,0,0,0
9681.87,1,10,0,0,0,0
4386.84,8,20,0,0,1,0
2418.81,16,37,1,0,1,1
9887.94,20,8,0,1,0,0
11229.75,2,0,1,0,0,1
2483.53,23,5,1,1,1,1
7407.84,16,0,0,1,0,0
14384.54,1,35,0,0,1,1
4111.28,0,10,0,1,1,1
6244.19,15,23,1,1,1,1
3409.24,2,31,0,1,0,0
7670.66,2,7,0,0,1,1
12318.59,17,8,0,0,0,0
6448.56,8,6,0,1,0,0
3911.67,12,31,1,0,0,0
4157.75,9,20,0,1,1,1
5955.98,1,12,0,0,1,1
123.09,23,5,0,0,0,0
10985.16,5,24,0,0,0,0
5841.19,9,4,0,0,0,0
6551.85,3,21,1,0,0,1
14132.08,20,2,1,1,0,1
2519.78,7,15,0,0,0,0
8488.6,18,20,0,1,1,1
9519.86,23,2,0,0,1,1
8937.5,13,13,0,0,0,0
12361.04,19,36,1,0,1,1
602.51,6,9,1,1,0,0
13303.6,19,17,0,1,0,1
4064.41,3,19,0,1,0,0
9353.46,16,2,0,1,0,1
9116.03,20,0,1,1,1,1
13207.73,7,35,1,0,0,0
13776.38,23,6,1,0,1,1
4022.75,14,28,0,0,0,0
4889.99,6,3,1,0,1,1
7791.1,0,9,0,0,0,0
496.59,7,21,1,0,0,0
12940.55,11,39,1,0,1,1
711.88,21,20,1,1,0,0
4088.8,11,2,0,1,0,0
13044.12,16,39,1,0,0,1
8658.86,12,2,1,1,0,1
13005.03,19,2,0,0,1,1
3365.91,20,1,0,1,0,0
5998.19,3,16,0,0,0,0
4565.66,4,34,0,1,0,0
2450.36,20,21,1,1,1,1
3941.57,21,22,0,1,1,1
218.83,5,29,0,0,1,0
9888.19,22,39,1,1,0,1
5813.28,2,16,1,1,1,1
1752.37,5,18,1,1,0,0
5719.1,2,33,0,0,1,1
4786.89,5,5,1,1,1,1
9795.55,10,16,1,1,1,1
7493.22,13,11,0,1,1,1
14380.38,20,4,0,0,0,0
178.22,17,5,1,1,1,1
2493.24,18,28,0,0,1,0
5025.09,4,0,1,1,1,1
1222.2,9,9,0,1,1,1
1619.61,18,22,1,1,1,1
7274.72,13,30,0,1,0,0
1346.25,6,12,0,1,0,0
11362.05,11,5,1,0,1,1
3397.54,19,23,1,1,1,1
830.62,23,8,0,1,0,0
1151.32,20,11,0,0,1,0
9708.27,8,19,0,0,1,1
2606.24,1,20,1,0,1,1
1477.43,6,15,0,0,1,0
9065.55,18,2,0,1,1,1
7337.66,3,30,0,0,0,0
1737.99,19,11,0,1,0,0
6108.46,21,19,1,1,0,1
5782.79,13,12,1,0,0,0
7363.5,4,21,1,1,1,1
2390.86,22,16,1,1,0,0
2072.21,21,13,0,0,0,0
3342.41,9,12,0,0,0,0
10552.97,0,34,0,0,0,0
4474.07,3,7,0,1,0,0
9773.04,3,32,0,1,1,1
14394.56,23,24,1,1,0,1
4015.61,5,19,0,1,1,1
5270.39,1,34,1,0,0,0
5084.36,4,20,1,1,0,1
14564.14,7,7,0,1,1,1
4241.27,12,15,1,1,0,0
8904.28,9,31,0,1,0,0
2787.21,10,3,0,0,0,0
5253.26,5,24,1,1,0,1
9400.93,3,5,1,0,1,1
14084.43,1,32,1,0,1,1
3512.66,9,6,0,1,0,0
13377.94,14,24,1,1,0,1
9384.74,20,31,0,1,0,1
14086.56,14,39,0,0,0,0
12959.56,22,8,1,1,1,1
12555.86,23,26,0,0,1,1
4681.7,10,6,1,0,0,0
7820.2,22,32,1,1,0,1
6603.38,12,34,0,0,0,0
12878.34,14,9,0,1,0,0
9612.85,2,34,0,0,0,0
9140.7,19,5,0,0,0,0
6485.49,6,1,1,0,1,1
315.76,17,1,0,1,1,1
14872.5,16,22,1,1,0,1
824.37,4,38,1,1,1,1
3609.16,5,38,1,0,1,1
3852.78,11,30,0,1,0,0
11862.8,5,34,1,0,0,0
1182.76,0,34,1,0,0,0
2413.42,18,40,0,0,1,0
241.41,19,5,0,0,0,0
954.67,17,8,0,0,1,0
6584.4,3,32,1,1,0,1
7157.12,15,10,0,0,1,0
676.56,3,16,0,1,0,0
8906.91,5,7,0,0,1,1
3486.51,23,15,0,1,1,1
14426.43,8,21,0,0,1,1
11805.69,0,36,1,1,0,1
5267.19,21,0,1,1,0,1
402.78,20,20,1,0,0,0
1276.47,9,37,1,1,1,1
1671.11,9,34,1,1,1,1
654.16,11,32,1,1,0,0
235.56,21,13,0,1,1,1
14771.41,6,16,0,1,1,1
2247.98,18,31,1,0,0,0
4303.89,3,21,0,1,1,1
2299.28,7,39,1,1,0,0
847.36,13,38,0,1,1,1
11979.72,0,37,0,0,0,0
11935.16,10,12,1,0,1,1
5231.8,23,4,0,0,0,0
5589.05,18,26,0,0,0,0
12312.62,13,22,0,0,0,0
2065.97,3,25,1,0,0,0
537.33,0,5,1,1,0,1
7139.08,16,7,1,1,0,1
6602.86,20,8,0,1,1,1
9402.37,7,26,1,1,1,1
10013.03,15,30,0,0,0,0
7019.22,9,26,0,1,1,1
1528.88,20,29,1,0,1,1
10702.3,14,27,1,0,1,1
11310.49,3,7,1,0,0,1
13853.13,3,13,0,0,0,0
6218.15,20,38,1,0,1,1
10453.02,17,0,0,0,0,0
1971.83,16,8,0,0,0,0
9943.0,3,31,1,1,0,1
6456.89,8,5,1,1,0,1
610.45,5,10,0,1,0,0
742.26,21,4,1,1,1,1
10804.24,9,0,0,0,1,1
4858.44,16,27,1,0,1,1
4024.88,8,15,0,0,0,0
7456.13,1,23,0,0,1,1
1061.78,19,8,0,1,0,0
12275.63,22,9,1,1,1,1
5771.15,12,1,0,1,1,1
13998.31,3,30,0,1,0,1
2710.72,2,37,0,1,1,1
4359.61,2,3,1,0,0,0
9647.57,17,15,0,1,0,0
13680.84,22,16,0,0,0,0
969.57,13,31,1,1,0,0
5601.3,20,0,0,0,1,1
13365.02,0,10,1,1,0,1
12294.96,19,11,0,0,1,1
3681.56,9,31,0,1,0,0
3026.7,19,26,1,1,0,0
12089.84,0,10,1,1,1,1
4453.62,13,34,1,0,0,0
6337.06,20,24,0,0,0,0
10719.71,16,18,1,0,0,0
9859.06,9,2,0,0,0,0
8373.63,10,32,0,1,0,0
13384.65,17,19,0,0,1,1
6262.33,20,35,1,0,0,0
7690.6,11,19,1,0,1,1
5119.92,6,11,0,0,1,1
1248.07,17,16,0,1,1,1
4673.34,23,35,1,1,0,1
13860.07,17,32,0,1,1,1
13642.05,17,31,0,0,1,1
4540.06,2,33,1,1,0,1
12967.29,4,3,1,1,0,1
13062.96,21,6,1,0,1,1
5428.04,18,9,0,1,0,0
12297.17,17,32,0,0,1,1
14386.54,7,6,0,0,0,0
7391.42,19,35,1,0,1,1
7460.04,22,1,0,0,0,0
7624.63,10,39,0,1,1,1
1956.17,12,19,0,0,0,0
9114.92,10,15,0,0,0,0
10528.83,19,30,0,1,0,0
3013.12,21,27,1,1,1,1
10277.39,7,37,0,1,1,1
11001.88,22,34,1,0,1,1
14579.75,3,38,0,1,1,1
9990.4,12,33,1,0,0,0
8931.65,15,24,1,0,1,1
5794.74,19,1,1,0,0,0
8568.3,21,4,0,1,1,1
6387.2,12,2,1,1,0,1
14323.98,10,25,1,1,0,1
3792.65,12,8,0,0,0,0
12522.27,23,10,0,0,1,1
2040.31,15,35,1,0,0,0
3610.38,3,5,1,0,1,1
8194.65,8,14,0,1,0,1
7125.49,20,28,1,0,1,1
14929.83,16,13,0,1,0,0
14478.87,22,11,0,0,1,1
13608.63,11,17,1,1,0,1
13211.29,13,27,0,0,1,1
8487.82,19,34,0,0,0,0
14125.78,23,37,1,1,0,1
9293.17,4,39,1,1,1,1
2535.48,6,7,1,1,1,1
5000.91,2,4,1,1,0,1
3811.58,9,11,1,0,0,0
6286.85,18,26,1,1,1,1
6172.2,7,8,1,1,0,1
2998.88,12,14,1,1,1,1
6967.01,7,24,1,0,1,1
14342.69,10,25,0,0,0,0
13685.48,7,16,1,0,1,1
13270.45,5,19,0,1,0,1
8931.06,13,19,0,1,0,0
5284.55,1,24,0,0,0,0
298.27,12,8,0,1,0,0
14401.47,16,1,0,1,0,0
2009.92,23,36,0,1,0,0
11114.64,6,9,0,1,1,1
2378.35,1,17,0,0,0,0
9182.45,5,18,0,0,1,1
9247.96,10,14,1,0,1,1
9472.85,9,35,1,0,0,0
8858.56,5,10,0,0,0,0
6103.2,5,0,1,0,1,1
2993.37,8,40,0,1,1,1
11821.1,2,17,1,0,0,1
5790.47,0,18,1,1,1,1
322.42,16,35,1,0,1,1
4003.16,4,14,0,0,0,0
7298.53,15,3,0,1,1,1
10859.54,5,15,0,1,1,1
10977.94,17,18,0,1,0,0
7197.88,19,19,1,1,1,1
4410.07,7,13,0,0,1,0
866.18,20,39,1,0,1,1
12822.52,10,15,1,0,1,1
3971.02,10,15,1,0,1,1
945.01,15,8,0,1,1,1
14703.56,10,3,1,1,0,1
13995.15,7,35,1,1,1,1
9689.78,8,40,1,1,0,1
14549.53,6,8,1,0,0,1
6016.59,0,6,0,1,1,1
13674.87,10,2,1,0,1,1
11699.68,23,11,1,1,1,1
12446.72,13,15,1,0,1,1
1344.01,12,28,1,0,0,0
11902.33,11,9,1,0,0,0
423.31,8,31,0,0,0,0
12056.08,1,7,1,0,0,1
14974.29,8,15,0,1,1,1
7294.02,13,32,0,0,0,0
11322.0,11,13,1,0,0,0
10725.44,20,26,0,0,1,1
11590.87,15,30,1,0,1,1
7272.71,17,0,0,1,1,1
2325.44,2,11,0,1,0,0
10524.42,10,7,1,1,0,1
9308.12,4,9,0,0,0,0
207.71,8,28,1,1,0,1
10672.09,2,26,1,1,0,1
13051.48,23,9,0,1,0,0
11278.75,6,17,0,1,0,0
10228.88,6,31,1,1,0,1
12135.53,12,34,1,1,1,1
12565.19,11,7,1,1,0,1
11780.77,10,0,1,1,0,1
